年份,最低分,最高分
2020,474,539
2020,516,580
2017,446,518
2016,750,750
2016,479,750
2016,750,750
2014,750,750
2014,750,750
2014,750,750
2013,450,517
2012,436,518
2012,368,451
2011,440,528
2010,478,526
2010,448,514
2008,488,577
