年份,最低分,最高分
2017,458,512
2017,388,467
2016,453,750
2016,437,750
2015,750,750
2015,468,750
2014,750,750
2013,366,455
2013,319,361
2012,375,483
2012,292,386
2011,364,464
2011,319,392
2010,345,402
2010,415,529
2008,468,520
