年份,最低分,最高分
2016,486,750
2016,383,750
2015,592,750
2015,538,750
2014,750,750
2014,750,750
2013,533,618
2013,523,565
2013,414,524
2012,564,632
2012,511,585
2012,331,534
2011,565,642
2011,518,604
2011,288,555
2008,552,615
