年份,最低分,最高分
2017,464,502
2017,426,469
2016,514,750
2016,750,750
2016,750,750
2015,568,750
2015,428,750
2015,428,750
2015,428,750
2015,428,750
2014,750,750
2014,750,750
2014,750,750
2014,750,750
2013,554,595
2013,392,541
2013,272,408
2012,577,651
2012,426,569
2011,596,648
2011,442,592
2011,220,489
2010,280,456
2010,750,632
2009,470,470
2008,471,530
