年份,最低分,最高分
2017,395,470
2016,750,750
2015,470,750
2015,310,750
2014,491,750
2013,457,494
2013,232,298
2013,269,387
2012,481,524
2012,254,451
2012,264,277
2011,520,573
2011,206,478
2011,436,436
2009,442,500
2008,514,542
