年份,最低分,最高分
2017,399,572
2016,488,750
2016,750,750
2015,516,543
2014,750,750
2013,453,537
2013,424,492
2012,492,577
2012,268,523
2011,460,560
2011,442,517
2010,466,561
2010,499,578
2010,750,534
2009,557,600
2008,556,598
