年份,最低分,最高分
2017,438,478
2017,389,456
2016,750,750
2016,750,750
2014,750,750
2014,750,750
2014,750,750
2013,381,502
2013,289,447
2013,226,402
2012,425,502
2012,280,444
2012,242,389
2011,374,545
2011,107,489
2011,237,430
2010,223,541
2009,467,471
2008,506,566
2008,293,537
