年份,最低分,最高分
2017,537,583
2017,432,502
2017,415,534
2016,750,750
2016,750,750
2016,750,750
2014,750,750
2014,750,750
2013,490,547
2013,440,555
2012,450,509
2012,400,504
2011,454,504
2011,357,497
2011,266,406
2010,315,441
2010,432,538
2008,475,556
