年份,最低分,最高分
2016,750,750
2016,750,750
2015,636,750
2014,628,750
2014,750,750
2014,750,750
2014,750,750
2012,609,641
2011,574,606
2010,495,631
2009,537,582
2008,556,642
2008,524,600
2008,326,454
