年份,最低分,最高分
2019,671,750
2019,666,750
2018,674,750
2018,666,750
2017,649,750
2017,650,750
2016,670,750
2016,668,750
2015,750,750
2015,684,750
2014,656,750
2014,674,750
2013,634,700
2012,524,662
2011,567,662
2010,630,680
2009,632,673
2008,619,675
