年份,最低分,最高分
2016,750,750
2016,750,750
2015,470,750
2015,750,750
2014,750,750
2014,750,750
2013,447,500
2013,359,443
2013,169,466
2012,480,527
2012,391,469
2012,300,474
2012,153,387
2011,529,591
2011,170,425
2010,500,560
