年份,最低分,最高分
2017,476,750
2016,750,750
2015,500,750
2014,750,750
2013,449,503
2013,234,440
2012,471,525
2012,291,450
2011,510,568
2011,189,494
2010,188,511
2010,508,561
2010,750,750
2008,484,534
