年份,最低分,最高分
2017,537,569
2017,403,542
2016,750,750
2016,750,750
2015,528,750
2015,750,750
2014,750,750
2014,750,750
2013,549,581
2013,460,585
2013,360,474
2012,526,569
2012,438,548
2012,286,455
2011,528,566
2011,447,564
2011,295,457
2010,304,560
2010,442,542
2009,520,571
2008,517,563
2008,423,534
