年份,最低分,最高分
2020,511,592
2020,239,361
2020,497,569
2017,489,750
2016,507,750
2015,750,750
2014,750,750
2013,247,586
2013,216,406
2012,252,564
2012,215,431
2011,224,604
2011,210,471
2010,181,280
2009,501,594
2008,548,595
