年份,最低分,最高分
2017,218,469
2017,473,530
2016,750,750
2014,750,750
2014,750,750
2013,447,557
2013,493,498
2013,206,430
2013,368,488
2012,233,503
2012,427,465
2012,214,400
2012,242,477
2011,281,482
2011,404,507
2011,249,351
2011,196,384
2011,142,443
2011,333,454
2010,441,513
2009,467,500
2008,534,584
