年份,最低分,最高分
2016,750,750
2016,750,750
2014,750,750
2014,750,750
2013,423,519
2013,416,526
2013,196,436
2012,412,505
2012,407,510
2012,194,405
2011,438,525
2011,438,543
2011,228,435
2010,750,515
