年份,最低分,最高分
2017,242,426
2017,445,515
2016,750,750
2015,510,750
2014,750,750
2013,494,547
2013,311,497
2012,521,565
2012,331,511
2011,545,578
2011,377,541
2010,397,532
2010,525,560
2008,515,558
