年份,最低分,最高分
2017,506,611
2017,439,517
2016,750,750
2016,750,750
2015,531,750
2014,750,750
2014,445,750
2013,412,587
2013,405,525
2012,465,572
2012,363,500
2011,473,576
2011,345,491
2011,222,426
2010,242,569
2009,464,480
2008,539,584
2008,475,560
