年份,最低分,最高分
2017,484,750
2017,411,750
2016,750,750
2016,750,750
2015,510,750
2015,478,750
2014,750,750
2013,435,532
2012,484,555
2011,510,576
2011,422,515
2010,429,503
2009,524,545
2008,505,573
