年份,最低分,最高分
2017,507,546
2017,472,532
2016,750,750
2015,540,750
2014,750,750
2013,444,524
2013,377,449
2012,507,570
2012,415,470
2011,501,567
2011,413,475
2010,451,514
2010,521,587
2009,540,614
