年份,最低分,最高分
2017,184,413
2017,408,550
2017,209,408
2016,750,750
2016,750,750
2014,750,750
2013,439,568
2013,190,459
2012,453,581
2012,205,514
2011,424,532
2011,219,491
2010,750,521
2008,440,515
