年份,最低分,最高分
2017,509,750
2016,527,750
2014,750,750
2013,583,630
2013,526,636
2013,462,558
2012,580,618
2012,544,605
2012,472,548
2011,558,616
2011,502,588
2011,446,561
2010,621,648
2010,579,631
2009,525,567
2008,510,612
