年份,最低分,最高分
2017,285,750
2017,302,750
2016,474,750
2016,399,750
2016,211,750
2015,750,750
2015,336,750
2015,378,750
2014,464,750
2014,750,750
2014,410,750
2014,410,750
2013,252,525
2013,243,491
2013,316,433
2013,310,356
2013,182,387
2012,254,510
2012,246,494
2012,272,340
2012,295,404
2012,175,412
2011,220,513
2011,234,488
2011,304,433
2011,314,396
2011,136,397
2010,190,535
2010,327,484
2009,501,522
2009,448,510
2009,359,458
2008,324,580
2008,314,551
