年份,最低分,最高分
2017,492,541
2017,435,497
2016,536,750
2016,750,750
2015,527,750
2015,527,750
2015,492,750
2014,549,750
2014,750,750
2013,505,549
2013,428,545
2012,460,575
2012,476,556
2011,570,635
2011,500,583
2010,750,599
2008,546,600
2008,511,557
