年份,最低分,最高分
2017,470,498
2017,412,476
2016,750,750
2016,750,750
2016,750,750
2014,750,750
2014,750,750
2014,750,750
2013,361,581
2013,299,470
2013,232,391
2012,365,563
2012,306,458
2012,223,385
2011,126,605
2011,112,508
2011,101,438
2008,515,635
