年份,最低分,最高分
2017,563,648
2016,602,711
2016,750,750
2015,612,750
2014,750,750
2013,386,697
2013,538,621
2012,398,698
2012,539,711
2011,486,703
2011,546,635
2010,563,634
2009,569,589
2009,553,572
2008,625,685
2008,566,692
