年份,最低分,最高分
2016,750,750
2016,414,750
2016,279,750
2014,410,750
2014,750,750
2013,369,421
2013,250,361
2012,388,451
2012,199,382
2011,416,493
2011,298,414
2010,280,415
2010,345,478
2009,435,453
