年份,最低分,最高分
2016,448,750
2015,441,750
2014,453,750
2014,422,750
2013,422,475
2013,397,436
2013,238,356
2013,281,359
2012,431,482
2012,400,444
2012,180,388
2012,151,372
2011,471,512
2011,429,479
2011,306,429
2010,465,522
2010,439,477
2008,470,522
