年份,最低分,最高分
2017,517,581
2016,750,750
2016,750,750
2015,566,750
2015,750,750
2014,750,750
2014,750,750
2013,522,551
2013,468,526
2013,189,506
2012,537,585
2012,350,548
2012,207,519
2011,559,598
2011,443,567
2011,200,489
