年份,最低分,最高分
2017,379,595
2017,750,750
2016,750,750
2016,750,750
2014,750,750
2014,531,750
2013,425,615
2013,379,487
2012,407,604
2012,234,474
2011,437,623
2011,231,537
2010,306,523
2009,552,601
