年份,最低分,最高分
2020,573,750
2017,537,578
2016,564,750
2015,551,750
2015,507,750
2014,750,750
2014,750,750
2013,517,588
2013,482,536
2013,291,450
2013,202,407
2012,545,589
2012,508,561
2012,323,492
2012,235,485
2011,562,628
2011,520,596
2011,334,458
2011,348,512
2010,750,601
2010,750,596
2009,554,578
2008,548,594
2008,510,559
