年份,最低分,最高分
2020,608,639
2020,606,621
2020,604,607
2019,591,640
2019,592,607
2019,584,597
2018,601,647
2017,573,611
2016,598,632
2015,575,750
2014,578,750
2013,527,593
2012,544,586
2012,320,454
2011,588,625
2011,358,516
2010,750,627
2009,560,591
2009,566,598
2008,548,588
